Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol Type,Packet Length,Time of Day,User Authentication Status,Number of Packets in the Session,Attack Type,Bytes Transferred,DNS Query Count,HTTP Request Count,SSL Handshake Count,Network Traffic Anomaly Score,Geographic Location,Session Duration,Average Packet Rate,Average Bit Rate,Average Response Time,Operating System,Device Type,Time Since Last Access,VPN Connection Status,Malware Signature Match
221.25.196.198,207.195.122.205,55408,1230,UDP,954,13:18:15,Authenticated,153,Malware,398956,9,2,1,0.2789559502561032,Germany,169,12,2176,40,Windows,IoT,31451,Connected,1
245.138.168.247,170.149.154.108,43845,10026,TCP,1141,18:10:22,Authenticated,95,Malware,670696,1,15,0,0.1689029130908376,Brazil,956,37,385,54,Other,Server,43497,Connected,1
69.16.44.179,82.156.230.13,40950,48085,UDP,42,19:04:17,Authenticated,53,Phishing,35650,4,33,4,0.2500622062669511,Germany,847,41,4915,57,Other,Mobile,25490,Disconnected,0
27.208.125.118,6.163.3.206,34593,64895,TCP,931,0:53:08,Unauthenticated,153,None,936582,5,36,2,0.5003887847643584,India,3084,71,8397,49,Linux,Mobile,41880,Connected,1
169.55.14.199,88.45.61.245,43883,36820,UDP,758,21:29:51,Authenticated,70,None,364111,9,34,4,0.7385251124248308,India,834,44,6461,57,MacOS,Mobile,10674,Connected,1
180.39.71.50,153.53.142.12,49999,60500,UDP,1370,18:06:46,Authenticated,74,Insider Threat,753681,4,20,0,0.6451250459899867,Germany,160,92,6968,15,Linux,Mobile,10035,Disconnected,1
142.209.20.97,124.123.14.24,64618,63580,UDP,605,10:00:40,Unauthenticated,65,Malware,880840,8,35,2,0.20983051313182455,Brazil,1298,14,2373,38,MacOS,IoT,15093,Disconnected,1
12.0.19.49,214.249.209.115,7908,15554,UDP,260,4:54:35,Authenticated,102,None,420113,5,22,3,0.5289794058701363,Brazil,1026,90,486,81,Other,IoT,28675,Disconnected,1
106.151.241.88,205.178.155.54,50069,52695,UDP,1417,7:24:14,Unauthenticated,102,DDoS,747378,0,23,3,0.8781664527233363,Germany,1116,81,198,14,Windows,IoT,11690,Disconnected,0
82.197.175.174,141.73.156.222,29597,60624,UDP,876,15:37:15,Unauthenticated,196,Phishing,829955,8,15,0,0.305740954123075,USA,3589,60,3507,71,Other,Router,73661,Disconnected,1
241.15.205.182,102.124.77.231,48088,18973,TCP,360,2:31:01,Authenticated,112,Malware,519347,8,35,0,0.6337117150053553,India,713,24,5230,23,Other,Mobile,48171,Disconnected,1
